Settlement Type,Settlement No.,Trade Start Date,Trade End Date,Custodial Confirmation Date,Settlement Date
B,2025063,01-Apr-25,01-Apr-25,02-Apr-25,02-Apr-25
B,2025064,02-Apr-25,02-Apr-25,03-Apr-25,03-Apr-25
B,2025065,03-Apr-25,03-Apr-25,04-Apr-25,04-Apr-25
B,2025066,04-Apr-25,04-Apr-25,07-Apr-25,07-Apr-25
B,2025067,07-Apr-25,07-Apr-25,08-Apr-25,08-Apr-25
B,2025068,08-Apr-25,08-Apr-25,09-Apr-25,09-Apr-25
B,2025069,09-Apr-25,09-Apr-25,11-Apr-25,11-Apr-25
B,2025070,11-Apr-25,11-Apr-25,15-Apr-25,15-Apr-25
B,2025071,15-Apr-25,15-Apr-25,16-Apr-25,16-Apr-25
B,2025072,16-Apr-25,16-Apr-25,17-Apr-25,17-Apr-25
B,2025073,17-Apr-25,17-Apr-25,21-Apr-25,21-Apr-25
B,2025074,21-Apr-25,21-Apr-25,22-Apr-25,22-Apr-25
B,2025075,22-Apr-25,22-Apr-25,23-Apr-25,23-Apr-25
B,2025076,23-Apr-25,23-Apr-25,24-Apr-25,24-Apr-25
B,2025077,24-Apr-25,24-Apr-25,25-Apr-25,25-Apr-25
B,2025078,25-Apr-25,25-Apr-25,28-Apr-25,28-Apr-25
B,2025079,28-Apr-25,28-Apr-25,29-Apr-25,29-Apr-25
B,2025080,29-Apr-25,29-Apr-25,30-Apr-25,30-Apr-25
B,2025081,30-Apr-25,30-Apr-25,02-May-25,02-May-25
